fixIdx,tickLead,togo,area
525,93.91834042907,186.333,0.0
526,98.91834042907,186.326,0.0
528,108.91834042907,186.249,0.0
529,113.91834042907,186.229,0.0
531,123.91834042907,186.136,0.0
532,128.91834042907,186.119,0.0
534,138.91834042907,186.03,0.0
535,143.91834042907,186.0,0.0
537,153.91834042907,185.936,0.0
538,158.91834042907,185.904,0.0
540,168.91834042907,185.826,0.0
541,173.91834042907,185.813,0.0
542,179.91834042907,185.811,0.0
543,184.91834042907,185.723,0.0
544,189.91834042907,185.711,0.0
547,204.91834042907,185.674,0.0
548,209.91834042907,185.638,0.0
550,219.91834042907,185.55,0.0
551,224.91834042907,185.534,0.0
553,234.91834042907,185.458,0.0
554,239.91834042907,185.401,0.0
558,259.91834042907,185.385,0.0
559,264.91834042907,185.328,0.0
568,309.91834042907,185.307,0.0
569,314.91834042907,185.287,0.0
571,324.91834042907,185.234,0.0
572,329.91834042907,185.194,0.0
576,349.91834042907,185.166,0.0
578,359.91834042907,185.125,0.0
579,364.91834042907,185.063,0.0
581,374.91834042907,185.023,0.0
582,379.91834042907,184.956,0.0
585,394.91834042907,184.87,0.0
586,399.91834042907,184.849,0.0
594,439.91834042907,184.789,0.0
595,444.91834042907,184.785,0.0
1068,2793.91834042907,184.709,78457.54080915911
1069,2798.91834042907,184.57,143667.86545111795
1070,2803.91834042907,184.436,138644.80061118715
1071,2808.91834042907,184.301,139826.5364828172
1072,2813.91834042907,184.174,131681.03718215984
1073,2818.91834042907,183.996,184735.72744044437
1074,2823.91834042907,183.88,120506.80687484183
1075,2828.91834042907,183.791,92569.89992780538
1076,2833.91834042907,183.706,88523.80150998455
1077,2838.91834042907,183.629,80298.22328077456
1078,2843.91834042907,183.546,86669.90448170298
1079,2848.91834042907,183.463,86783.02970980854
1080,2853.91834042907,183.384,82709.15913308735
1081,2858.91834042907,183.291,97491.33107033392
1082,2863.91834042907,183.201,94464.28443785135
1083,2868.91834042907,183.122,83025.11108443711
1084,2873.91834042907,183.031,95758.73781139303
1085,2878.91834042907,182.932,104304.18166924486
1086,2883.91834042907,182.846,90719.1539143734
1087,2888.91834042907,182.746,105616.54339140846
1088,2893.91834042907,182.664,86712.26946367061
1089,2898.91834042907,182.575,94233.02518085616
1090,2903.91834042907,182.508,71031.47170506162
1091,2908.91834042907,182.451,60513.247930482605
1092,2913.91834042907,182.39,64850.12975567691
1093,2918.91834042907,182.316,78776.48038755762
1094,2923.91834042907,182.243,77813.67447760714
1095,2928.91834042907,182.162,86452.31151535659
1096,2933.91834042907,182.067,101518.72360553207
1097,2938.91834042907,181.963,111264.86212051938
1098,2943.91834042907,181.856,114602.7166565316
1099,2948.91834042907,181.763,99722.294636637
1100,2953.91834042907,181.658,112719.1755057122
1101,2958.91834042907,181.555,110695.91353975191
1102,2964.91834042907,181.454,108705.49622592148
1103,2969.91834042907,181.34,122831.4152013338
1104,2974.91834042907,181.224,125117.4020088167
1105,2979.91834042907,181.123,109056.2115608437
1106,2984.91834042907,181.03,100532.73325193948
1107,2989.91834042907,180.933,104977.26178891168
1108,2994.91834042907,180.83,111595.41628960866
1109,2999.91834042907,180.737,100874.44713725358
1110,3004.91834042907,180.735,2172.387684682655
1111,3009.91834042907,180.711,26110.15066739441
1112,3014.91834042907,180.629,89331.66863673653
1113,3019.91834042907,180.624,5454.772801170153
1115,3029.91834042907,180.543,88638.82789786524
1116,3034.91834042907,180.502,44925.425781025275
1119,3049.91834042907,180.44,68252.30478914428
1120,3054.91834042907,180.427,14331.449817828789
1122,3064.91834042907,180.423,4423.903132565009
1123,3069.91834042907,180.351,79743.36379319995
1125,3079.91834042907,180.311,44432.38033982433
1126,3084.91834042907,180.278,36708.79144209747
1127,3089.91834042907,180.277,1114.085507238723
1128,3094.91834042907,180.198,88135.61441250428
1130,3104.91834042907,180.174,26854.215172251537
1131,3109.91834042907,180.091,92992.76266591657
1134,3124.91834042907,180.016,84397.87266128603
1137,3139.91834042907,179.945,80247.61834748006
1139,3149.91834042907,179.94,5668.041809721424
1140,3154.91834042907,179.874,74922.12999105045
1142,3164.91834042907,179.848,29600.759636631028
1143,3169.91834042907,179.814,38763.37178530668
1145,3179.91834042907,179.747,76606.09943297796
1147,3189.91834042907,179.711,41279.100005303866
1148,3194.91834042907,179.677,39039.32062604741
1150,3204.91834042907,179.628,56425.61603109308
1151,3209.91834042907,179.596,36898.5505894929
1153,3219.91834042907,179.555,47413.9125672174
1154,3224.91834042907,179.509,53265.795633463844
1156,3234.91834042907,179.495,16258.880734402182
1157,3239.91834042907,179.419,88376.75589398605
1162,3264.91834042907,179.404,17572.916905034017
1164,3274.91834042907,179.358,54046.147667845566
1165,3279.91834042907,179.351,8235.753595844684
1166,3284.91834042907,179.35,1178.303493635874
1167,3289.91834042907,179.279,83770.0688401889
1170,3304.91834042907,179.205,87672.26562990861
1173,3319.91834042907,179.168,44021.45653034703
1174,3324.91834042907,179.093,89339.14271705474
1177,3340.91834042907,179.024,82554.3360790273
1180,3355.91834042907,178.961,75686.21090719134
1183,3370.91834042907,178.909,62730.22841747151
1185,3380.91834042907,178.883,31451.303906307017
1186,3385.91834042907,178.84,52082.49725921997
1188,3395.91834042907,178.831,10931.593578674128
1189,3400.91834042907,178.768,76618.3948499886
1195,3430.91834042907,178.741,33117.77299413215
