fixIdx,time,lat,lng,alt,tickLead,tickRace,zoneIdx,legIdx,togo
1,,,,225.0,-4033.607509945884,-7908.243396850838,1,1,166.478
2,,,,225.0,-4003.607509945884,-7878.243396850838,2,1,166.474
11,,,,243.0,-3731.607509945884,-7606.243396850838,11,1,166.426
12,,,,254.0,-3728.607509945884,-7603.243396850838,12,1,166.415
13,,,,259.0,-3724.607509945884,-7599.243396850838,13,1,166.399
14,,,,267.0,-3721.607509945884,-7596.243396850838,14,1,166.38
15,,,,273.0,-3718.607509945884,-7593.243396850838,15,1,166.36
16,,,,280.0,-3715.607509945884,-7590.243396850838,16,1,166.341
17,,,,290.0,-3712.607509945884,-7587.243396850838,17,1,166.337
18,,,,294.0,-3709.607509945884,-7584.243396850838,18,1,166.336
19,,,,298.0,-3706.607509945884,-7581.243396850838,19,1,166.333
20,,,,298.0,-3703.607509945884,-7578.243396850838,20,1,166.324
21,,,,303.0,-3700.607509945884,-7575.243396850838,21,1,166.303
22,,,,306.0,-3697.607509945884,-7572.243396850838,22,1,166.281
23,,,,313.0,-3694.607509945884,-7569.243396850838,23,1,166.263
24,,,,321.0,-3691.607509945884,-7566.243396850838,24,1,166.242
25,,,,329.0,-3688.607509945884,-7563.243396850838,25,1,166.227
26,,,,332.0,-3685.607509945884,-7560.243396850838,26,1,166.216
27,,,,345.0,-3682.607509945884,-7557.243396850838,27,1,166.212
28,,,,363.0,-3679.607509945884,-7554.243396850838,28,1,166.199
29,,,,380.0,-3676.607509945884,-7551.243396850838,29,1,166.188
30,,,,382.0,-3673.607509945884,-7548.243396850838,30,1,166.179
31,,,,382.0,-3670.607509945884,-7545.243396850838,31,1,166.153
32,,,,389.0,-3667.607509945884,-7542.243396850838,32,1,166.104
33,,,,389.0,-3664.607509945884,-7539.243396850838,33,1,166.06
38,,,,401.0,-3649.607509945884,-7524.243396850838,38,1,166.054
39,,,,403.0,-3646.607509945884,-7521.243396850838,39,1,166.032
43,,,,414.0,-3634.607509945884,-7509.243396850838,43,1,166.014
44,,,,418.0,-3631.607509945884,-7506.243396850838,44,1,166.012
48,,,,429.0,-3618.607509945884,-7493.243396850838,48,1,165.986
49,,,,432.0,-3615.607509945884,-7490.243396850838,49,1,165.979
52,,,,443.0,-3606.607509945884,-7481.243396850838,52,1,165.958
53,,,,449.0,-3603.607509945884,-7478.243396850838,53,1,165.945
57,,,,468.0,-3591.607509945884,-7466.243396850838,57,1,165.917
61,,,,485.0,-3579.607509945884,-7454.243396850838,61,1,165.906
62,,,,490.0,-3576.607509945884,-7451.243396850838,62,1,165.868
68,,,,510.0,-3558.607509945884,-7433.243396850838,68,1,165.865
72,,,,524.0,-3546.607509945884,-7421.243396850838,72,1,165.833
77,,,,541.0,-3531.607509945884,-7406.243396850838,77,1,165.828
78,,,,543.0,-3528.607509945884,-7403.243396850838,78,1,165.802
88,,,,568.0,-3497.607509945884,-7372.243396850838,88,1,165.784
89,,,,573.0,-3494.607509945884,-7369.243396850838,89,1,165.752
94,,,,585.0,-3479.607509945884,-7354.243396850838,94,1,165.743
95,,,,584.0,-3476.607509945884,-7351.243396850838,95,1,165.711
101,,,,594.0,-3458.607509945884,-7333.243396850838,101,1,165.67
102,,,,593.0,-3455.607509945884,-7330.243396850838,102,1,165.656
119,,,,602.0,-3404.607509945884,-7279.243396850838,119,1,165.614
120,,,,597.0,-3400.607509945884,-7275.243396850838,120,1,165.564
134,,,,554.0,-3358.607509945884,-7233.243396850838,134,1,165.561
135,,,,547.0,-3355.607509945884,-7230.243396850838,135,1,165.494
136,,,,531.0,-3352.607509945884,-7227.243396850838,136,1,165.45
137,,,,517.0,-3349.607509945884,-7224.243396850838,137,1,165.437
138,,,,515.0,-3346.607509945884,-7221.243396850838,138,1,165.426
139,,,,515.0,-3343.607509945884,-7218.243396850838,139,1,165.411
140,,,,507.0,-3340.607509945884,-7215.243396850838,140,1,165.394
141,,,,499.0,-3337.607509945884,-7212.243396850838,141,1,165.38
142,,,,494.0,-3334.607509945884,-7209.243396850838,142,1,165.364
143,,,,482.0,-3331.607509945884,-7206.243396850838,143,1,165.335
144,,,,472.0,-3328.607509945884,-7203.243396850838,144,1,165.299
145,,,,463.0,-3325.607509945884,-7200.243396850838,145,1,165.266
146,,,,453.0,-3322.607509945884,-7197.243396850838,146,1,165.239
147,,,,447.0,-3319.607509945884,-7194.243396850838,147,1,165.206
