fixIdx,time,lat,lng,alt,tickLead,tickRace,zoneIdx,legIdx,togo
11,,,,280.0,-2486.180188757446,-10216.717928356575,1,1,171.893
55,,,,582.0,-2354.180188757446,-10084.717928356575,45,1,171.866
56,,,,597.0,-2351.180188757446,-10081.717928356575,46,1,171.813
57,,,,615.0,-2348.180188757446,-10078.717928356575,47,1,171.766
58,,,,628.0,-2345.180188757446,-10075.717928356575,48,1,171.722
59,,,,641.0,-2342.180188757446,-10072.717928356575,49,1,171.678
60,,,,660.0,-2339.180188757446,-10069.717928356575,50,1,171.629
61,,,,685.0,-2336.180188757446,-10066.717928356575,51,1,171.582
62,,,,693.0,-2333.180188757446,-10063.717928356575,52,1,171.548
63,,,,691.0,-2330.180188757446,-10060.717928356575,53,1,171.527
64,,,,686.0,-2327.180188757446,-10057.717928356575,54,1,171.521
69,,,,691.0,-2312.180188757446,-10042.717928356575,59,1,171.504
70,,,,697.0,-2309.180188757446,-10039.717928356575,60,1,171.477
205,,,,1124.0,-1904.180188757446,-9634.717928356575,195,1,171.47
814,,,,2468.0,-76.180188757446,-7806.717928356575,804,1,171.428
815,,,,2462.0,-73.180188757446,-7803.717928356575,805,1,171.37
816,,,,2453.0,-70.180188757446,-7800.717928356575,806,1,171.311
817,,,,2457.0,-67.180188757446,-7797.717928356575,807,1,171.262
818,,,,2456.0,-64.180188757446,-7794.717928356575,808,1,171.219
819,,,,2450.0,-61.180188757446,-7791.717928356575,809,1,171.177
820,,,,2438.0,-58.180188757446,-7788.717928356575,810,1,171.133
821,,,,2430.0,-55.180188757446,-7785.717928356575,811,1,171.091
822,,,,2423.0,-52.180188757446,-7782.717928356575,812,1,171.044
823,,,,2419.0,-49.180188757446,-7779.717928356575,813,1,171.001
824,,,,2415.0,-46.180188757446,-7776.717928356575,814,1,170.96
825,,,,2417.0,-43.180188757446,-7773.717928356575,815,1,170.915
826,,,,2418.0,-40.180188757446,-7770.717928356575,816,1,170.865
827,,,,2416.0,-37.180188757446,-7767.717928356575,817,1,170.814
828,,,,2413.0,-34.180188757446,-7764.717928356575,818,1,170.77
829,,,,2405.0,-31.180188757446,-7761.717928356575,819,1,170.735
830,,,,2398.0,-28.180188757446,-7758.717928356575,820,1,170.702
831,,,,2392.0,-25.180188757446,-7755.717928356575,821,1,170.669
832,,,,2388.0,-22.180188757446,-7752.717928356575,822,1,170.629
833,,,,2387.0,-19.180188757446,-7749.717928356575,823,1,170.585
834,,,,2382.0,-16.180188757446,-7746.717928356575,824,1,170.552
835,,,,2377.0,-13.180188757446,-7743.717928356575,825,1,170.527
836,,,,2380.0,-10.180188757446,-7740.717928356575,826,1,170.504
837,,,,2381.0,-8.180188757446,-7738.717928356575,827,1,170.487
838,,,,2380.0,-7.180188757446,-7737.717928356575,828,1,170.476
839,,,,2378.0,-4.180188757446,-7734.717928356575,829,1,170.447
840,,,,2376.0,-1.180188757446,-7731.717928356575,830,1,170.414
841,,,,2378.0,1.819811242554,-7728.717928356575,831,1,170.383
842,,,,2383.0,4.819811242554,-7725.717928356575,832,1,170.356
843,,,,2386.0,7.819811242554,-7722.717928356575,833,1,170.327
844,,,,2386.0,10.819811242554,-7719.717928356575,834,1,170.298
845,,,,2388.0,13.819811242554,-7716.717928356575,835,1,170.267
846,,,,2390.0,16.819811242554,-7713.717928356575,836,1,170.233
847,,,,2390.0,19.819811242554,-7710.717928356575,837,1,170.205
848,,,,2389.0,22.819811242554,-7707.717928356575,838,1,170.179
849,,,,2393.0,25.819811242554,-7704.717928356575,839,1,170.153
850,,,,2396.0,28.819811242554,-7701.717928356575,840,1,170.135
851,,,,2398.0,31.819811242554,-7698.717928356575,841,1,170.121
852,,,,2405.0,34.819811242554,-7695.717928356575,842,1,170.106
853,,,,2411.0,37.819811242554,-7692.717928356575,843,1,170.089
854,,,,2418.0,40.819811242554,-7689.717928356575,844,1,170.088
861,,,,2456.0,61.819811242554,-7668.717928356575,851,1,170.084
862,,,,2460.0,64.819811242554,-7665.717928356575,852,1,170.053
863,,,,2465.0,67.819811242554,-7662.717928356575,853,1,170.028
864,,,,2473.0,70.819811242554,-7659.717928356575,854,1,170.014
870,,,,2510.0,88.819811242554,-7641.717928356575,860,1,170.004
871,,,,2517.0,91.819811242554,-7638.717928356575,861,1,169.972
872,,,,2526.0,94.819811242554,-7635.717928356575,862,1,169.967
877,,,,2552.0,109.819811242554,-7620.717928356575,867,1,169.956
878,,,,2556.0,112.819811242554,-7617.717928356575,868,1,169.9
879,,,,2563.0,115.819811242554,-7614.717928356575,869,1,169.851
880,,,,2569.0,118.819811242554,-7611.717928356575,870,1,169.815
881,,,,2579.0,121.819811242554,-7608.717928356575,871,1,169.806
885,,,,2600.0,133.819811242554,-7596.717928356575,875,1,169.786
886,,,,2611.0,136.819811242554,-7593.717928356575,876,1,169.726
887,,,,2620.0,139.819811242554,-7590.717928356575,877,1,169.678
888,,,,2624.0,142.819811242554,-7587.717928356575,878,1,169.648
889,,,,2631.0,145.819811242554,-7584.717928356575,879,1,169.645
896,,,,2668.0,166.819811242554,-7563.717928356575,886,1,169.591
897,,,,2671.0,169.819811242554,-7560.717928356575,887,1,169.548
898,,,,2674.0,172.819811242554,-7557.717928356575,888,1,169.528
904,,,,2701.0,191.819811242554,-7538.717928356575,894,1,169.477
905,,,,2702.0,194.819811242554,-7535.717928356575,895,1,169.417
906,,,,2701.0,197.819811242554,-7532.717928356575,896,1,169.36
907,,,,2697.0,200.819811242554,-7529.717928356575,897,1,169.299
908,,,,2690.0,203.819811242554,-7526.717928356575,898,1,169.236
909,,,,2685.0,206.819811242554,-7523.717928356575,899,1,169.172
910,,,,2685.0,209.819811242554,-7520.717928356575,900,1,169.107
911,,,,2684.0,212.819811242554,-7517.717928356575,901,1,169.048
912,,,,2676.0,215.819811242554,-7514.717928356575,902,1,168.983
913,,,,2669.0,218.819811242554,-7511.717928356575,903,1,168.922
914,,,,2664.0,221.819811242554,-7508.717928356575,904,1,168.862
915,,,,2659.0,224.819811242554,-7505.717928356575,905,1,168.799
916,,,,2653.0,227.819811242554,-7502.717928356575,906,1,168.738
917,,,,2652.0,230.819811242554,-7499.717928356575,907,1,168.674
918,,,,2648.0,233.819811242554,-7496.717928356575,908,1,168.609
919,,,,2642.0,236.819811242554,-7493.717928356575,909,1,168.548
920,,,,2630.0,239.819811242554,-7490.717928356575,910,1,168.485
921,,,,2623.0,242.819811242554,-7487.717928356575,911,1,168.421
922,,,,2612.0,245.819811242554,-7484.717928356575,912,1,168.358
923,,,,2597.0,248.819811242554,-7481.717928356575,913,1,168.292
924,,,,2593.0,251.819811242554,-7478.717928356575,914,1,168.225
925,,,,2584.0,254.819811242554,-7475.717928356575,915,1,168.163
926,,,,2579.0,257.819811242554,-7472.717928356575,916,1,168.098
927,,,,2575.0,260.819811242554,-7469.717928356575,917,1,168.03
928,,,,2579.0,263.819811242554,-7466.717928356575,918,1,167.961
929,,,,2577.0,266.819811242554,-7463.717928356575,919,1,167.895
930,,,,2567.0,269.819811242554,-7460.717928356575,920,1,167.829
931,,,,2568.0,272.819811242554,-7457.717928356575,921,1,167.767
932,,,,2567.0,275.819811242554,-7454.717928356575,922,1,167.708
933,,,,2565.0,278.819811242554,-7451.717928356575,923,1,167.649
934,,,,2566.0,281.819811242554,-7448.717928356575,924,1,167.585
935,,,,2564.0,284.819811242554,-7445.717928356575,925,1,167.522
936,,,,2565.0,287.819811242554,-7442.717928356575,926,1,167.455
937,,,,2564.0,290.819811242554,-7439.717928356575,927,1,167.39
938,,,,2566.0,293.819811242554,-7436.717928356575,928,1,167.329
939,,,,2564.0,296.819811242554,-7433.717928356575,929,1,167.27
940,,,,2553.0,299.819811242554,-7430.717928356575,930,1,167.208
941,,,,2551.0,302.819811242554,-7427.717928356575,931,1,167.139
942,,,,2548.0,305.819811242554,-7424.717928356575,932,1,167.077
943,,,,2546.0,308.819811242554,-7421.717928356575,933,1,167.018
944,,,,2541.0,311.819811242554,-7418.717928356575,1,2,166.962
945,,,,2539.0,314.819811242554,-7415.717928356575,2,2,166.902
946,,,,2537.0,317.819811242554,-7412.717928356575,3,2,166.84
947,,,,2531.0,320.819811242554,-7409.717928356575,4,2,166.779
948,,,,2524.0,323.819811242554,-7406.717928356575,5,2,166.722
949,,,,2516.0,326.819811242554,-7403.717928356575,6,2,166.66
950,,,,2512.0,329.819811242554,-7400.717928356575,7,2,166.599
951,,,,2507.0,332.819811242554,-7397.717928356575,8,2,166.538
952,,,,2504.0,335.819811242554,-7394.717928356575,9,2,166.48
953,,,,2491.0,338.819811242554,-7391.717928356575,10,2,166.42
954,,,,2478.0,341.819811242554,-7388.717928356575,11,2,166.351
955,,,,2473.0,344.819811242554,-7385.717928356575,12,2,166.281
956,,,,2470.0,347.819811242554,-7382.717928356575,13,2,166.214
957,,,,2463.0,350.819811242554,-7379.717928356575,14,2,166.149
958,,,,2451.0,353.819811242554,-7376.717928356575,15,2,166.081
959,,,,2444.0,356.819811242554,-7373.717928356575,16,2,166.012
960,,,,2441.0,359.819811242554,-7370.717928356575,17,2,165.95
961,,,,2430.0,362.819811242554,-7367.717928356575,18,2,165.889
962,,,,2422.0,365.819811242554,-7364.717928356575,19,2,165.826
963,,,,2413.0,368.819811242554,-7361.717928356575,20,2,165.761
964,,,,2404.0,371.819811242554,-7358.717928356575,21,2,165.697
965,,,,2398.0,374.819811242554,-7355.717928356575,22,2,165.631
