fixIdx,tickLead,togo,area
11,580.11905433863,186.132,0.0
574,1697.11905433863,186.113,0.0
575,1699.11905433863,186.078,0.0
576,1701.11905433863,186.044,0.0
577,1703.11905433863,186.009,0.0
578,1705.11905433863,185.975,0.0
579,1707.11905433863,185.942,0.0
580,1709.11905433863,185.907,0.0
581,1711.11905433863,185.871,0.0
582,1713.11905433863,185.836,0.0
583,1715.11905433863,185.803,0.0
584,1717.11905433863,185.769,0.0
585,1719.11905433863,185.737,0.0
586,1721.11905433863,185.707,0.0
587,1723.11905433863,185.675,0.0
588,1725.11905433863,185.638,0.0
589,1727.11905433863,185.599,0.0
590,1729.11905433863,185.56,0.0
591,1731.11905433863,185.521,0.0
592,1733.11905433863,185.48,0.0
593,1735.11905433863,185.439,0.0
594,1737.11905433863,185.399,0.0
595,1739.11905433863,185.362,0.0
596,1741.11905433863,185.323,0.0
597,1743.11905433863,185.284,0.0
598,1745.11905433863,185.247,0.0
599,1747.11905433863,185.208,0.0
600,1749.11905433863,185.171,0.0
601,1751.11905433863,185.132,0.0
602,1753.11905433863,185.093,0.0
603,1755.11905433863,185.056,0.0
604,1757.11905433863,185.019,0.0
605,1759.11905433863,184.98,0.0
606,1761.11905433863,184.943,0.0
607,1763.11905433863,184.905,0.0
608,1765.11905433863,184.866,0.0
609,1767.11905433863,184.826,0.0
610,1769.11905433863,184.787,0.0
611,1771.11905433863,184.749,0.0
612,1773.11905433863,184.712,0.0
613,1775.11905433863,184.675,0.0
614,1777.11905433863,184.64,0.0
615,1779.11905433863,184.603,0.0
616,1781.11905433863,184.566,0.0
617,1783.11905433863,184.531,0.0
618,1785.11905433863,184.495,0.0
619,1787.11905433863,184.46,0.0
620,1789.11905433863,184.425,0.0
621,1791.11905433863,184.39,0.0
622,1793.11905433863,184.351,0.0
623,1795.11905433863,184.312,0.0
624,1797.11905433863,184.275,0.0
625,1799.11905433863,184.239,0.0
626,1801.11905433863,184.206,0.0
627,1803.11905433863,184.169,0.0
628,1805.11905433863,184.13,0.0
629,1807.11905433863,184.091,0.0
630,1809.11905433863,184.054,0.0
631,1811.11905433863,184.017,0.0
632,1813.11905433863,183.978,0.0
633,1815.11905433863,183.939,0.0
634,1817.11905433863,183.903,0.0
635,1819.11905433863,183.865,0.0
636,1821.11905433863,183.826,0.0
637,1823.11905433863,183.787,0.0
638,1825.11905433863,183.748,0.0
639,1827.11905433863,183.709,0.0
640,1829.11905433863,183.671,0.0
641,1831.11905433863,183.634,0.0
642,1833.11905433863,183.597,0.0
643,1835.11905433863,183.558,0.0
644,1837.11905433863,183.518,0.0
645,1839.11905433863,183.479,0.0
646,1841.11905433863,183.442,0.0
647,1843.11905433863,183.403,0.0
648,1845.11905433863,183.363,0.0
649,1847.11905433863,183.323,0.0
650,1849.11905433863,183.282,0.0
651,1851.11905433863,183.243,0.0
652,1853.11905433863,183.205,0.0
653,1855.11905433863,183.172,0.0
654,1857.11905433863,183.137,0.0
655,1859.11905433863,183.107,0.0
656,1861.11905433863,183.08,0.0
657,1863.11905433863,183.052,0.0
658,1865.11905433863,183.024,0.0
659,1867.11905433863,182.995,0.0
660,1869.11905433863,182.963,0.0
661,1871.11905433863,182.93,0.0
662,1873.11905433863,182.895,0.0
